product_id,product_name,total_sold
OFF-PA-10003543,Xerox 1985,5
OFF-PA-10000210,Xerox Blank Computer Paper,5
OFF-AR-10003477,4009 Highlighters,6
OFF-BI-10000494,Acco Economy Flexible Poly Round Ring Binder,6
OFF-AR-10003723,Avery Hi-Liter Fluorescent Desk Style Markers,6
OFF-AR-10000411,Boston 16701 Slimline Battery Pencil Sharpener,6
FUR-BO-10002824,Bush Mission Pointe Library,6
TEC-MA-10001016,Canon PC170 Desktop Personal Copier,6
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,6
FUR-FU-10003489,Contemporary Borderless Frame,6
FUR-FU-10002508,Document Clip Frames,6
FUR-FU-10004164,"Eldon 300 Class Desk Accessories, Black",6
FUR-FU-10003919,Eldon Executive Woodline II Cherry Finish Desk Accessories,6
OFF-SU-10002557,Fiskars Spring-Action Scissors,6
TEC-MA-10003626,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,6
FUR-TA-10004175,"Hon 30 x 60"""" Table with Locking Drawer""""",6
OFF-AP-10001564,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,6
OFF-AP-10002906,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,6
OFF-PA-10001994,"Ink Jet Note and Greeting Cards, 8-1/2 x 5-1/2"""" Card Size""""",6
OFF-AP-10004136,Kensington 6 Outlet SmartSocket Surge Protector,6
TEC-AC-10000387,KeyTronicÂ KT800P2 -Â KeyboardÂ - Black,6
TEC-AC-10004992,Kingston Digital DataTraveler 64GB USB 2.0,6
TEC-MA-10004626,Lexmark 20R1285 X6650 Wireless All-in-One Printer,6
TEC-MA-10001681,Lexmark MarkNet N8150 Wireless Print Server,6
TEC-PH-10001870,Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,6
TEC-PH-10002483,Motorola Moto X,6
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,6
FUR-CH-10003606,SAFCO Folding Chair Trolley,6
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,6
FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",6
OFF-BI-10004352,Wilson Jones DublLock D-Ring Binders,6
OFF-PA-10004948,Xerox 190,6
TEC-MA-10001695,Zebra GK420t Direct Thermal/Thermal Transfer Printer,6
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,6
OFF-AP-10000124,Acco 6 Outlet Guardian Basic Surge Suppressor,7
OFF-SU-10004768,Acme Kleencut Forged Steel Scissors,7
OFF-LA-10002368,Avery 479,7
OFF-LA-10000973,Avery 502,7
OFF-LA-10003714,Avery 510,7
TEC-PH-10000004,Belkin iPhone and iPad Lightning Cable,7
OFF-ST-10003324,Belkin OmniView SE Rackmount Kit,7
OFF-FA-10001135,"Brites Rubber Bands, 1 1/2 oz. Box",7
TEC-CO-10003236,Canon Image Class D660 Copier,7
OFF-AR-10000799,Col-Erase Pencils with Erasers,7
FUR-FU-10001617,"Executive Impressions 8-1/2 Career Panel/Partition Cubicle Clock""""",7
OFF-ST-10000676,Fellowes Econo/Stor Drawers,7
FUR-FU-10000409,"GE 4 Foot Flourescent Tube, 40 Watt",7
OFF-PA-10001752,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),7
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",7
TEC-AC-10000303,Logitech M510 Wireless Mouse,7
TEC-AC-10001956,Microsoft Arc Touch Mouse,7
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",7
TEC-MA-10000984,Okidata MB760 Printer,7
OFF-ST-10003572,Portfile Personal File Boxes,7
TEC-PH-10003174,RCA ViSYS 25825 Wireless digital phone,7
OFF-AR-10001468,"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",7
TEC-PH-10000307,Shocksock Galaxy S4 Armband,7
OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,7
OFF-ST-10003641,Space Solutions Industrial Galvanized Steel Shelving.,7
OFF-PA-10004092,Tops Green Bar Computer Printout Paper,7
FUR-FU-10002554,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",7
OFF-PA-10004965,Xerox 1921,7
OFF-PA-10002960,Xerox 1926,7
OFF-PA-10002558,Xerox 1938,7
OFF-PA-10001837,Xerox 1976,7
OFF-PA-10001826,Xerox 207,7
OFF-PA-10001246,Xerox 215,7
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,7
OFF-AR-10002221,12 Colored Short Pencils,8
OFF-ST-10000352,Acco Perma 2700 Stacking Storage Drawers,8
OFF-AP-10002495,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",8
OFF-FA-10002701,Alliance Rubber Bands,8
TEC-PH-10000912,Anker 24W Portable Micro USB Car Charger,8
TEC-PH-10000586,AT&T SB67148 SynJ,8
OFF-LA-10002381,Avery 497,8
OFF-LA-10003077,Avery 500,8
OFF-BI-10000591,Avery Binder Labels,8
OFF-AP-10001124,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,8
TEC-PH-10002365,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,8
OFF-AR-10004027,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",8
OFF-AR-10004691,Boston 1730 StandUp Electric Pencil Sharpener,8
TEC-MA-10004212,Cisco SPA525G2 5-Line IP Phone,8
OFF-AR-10000315,"Dixon Ticonderoga Maple Cedar Pencil, #2",8
FUR-FU-10004597,Eldon Cleatmat Chair Mats for Medium Pile Carpets,8
FUR-FU-10002379,Eldon Econocleat Chair Mats for Low Pile Carpets,8
FUR-FU-10002030,"Executive Impressions 14 Contract Wall Clock with Quartz Movement""""",8
OFF-AR-10002804,Faber Castell Col-Erase Pencils,8
OFF-PA-10002259,"Geographics Note Cards, Blank, White, 8 1/2 x 11""""""""",8
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",8
FUR-CH-10003761,Global Italian Leather Office Chair,8
FUR-FU-10004093,Hand-Finished Solid Wood Document Frame,8
TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,8
OFF-AP-10001634,Hoover Commercial Lightweight Upright Vacuum,8
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",8
OFF-AR-10000475,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",8
OFF-BI-10001153,Ibico Recycled Grain-Textured Covers,8
OFF-AP-10003779,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,8
TEC-MA-10004255,Konica Minolta magicolor 1690MF Multifunction Printer,8
OFF-AR-10000896,Newell 329,8
OFF-AR-10001227,Newell 338,8
FUR-FU-10002240,Nu-Dell EZ-Mount Plastic Wall Frames,8
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,8
OFF-ST-10004835,Plastic Stacking Crates & Casters,8
OFF-AR-10001130,"Quartet Alpha White Chalk, 12/Pack",8
TEC-PH-10000730,Samsung Galaxy S4 Active,8
TEC-PH-10003655,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,8
TEC-PH-10002844,Speck Products Candyshell Flip Case,8
OFF-AR-10001166,Staples in misc. colors,8
FUR-FU-10002506,"Tensor Hersey Kiss"""" Styled Floor Lamp""""",8
TEC-MA-10000752,Texas Instrument TI-15 Fraction Calculator,8
TEC-AC-10000521,"Verbatim Slim CD and DVD Storage Cases, 50/Pack",8
OFF-BI-10004876,Wilson Jones Suede Grain Vinyl Binders,8
OFF-PA-10002968,Xerox 1973,8
OFF-PA-10002741,Xerox 1980,8
OFF-PA-10004248,Xerox 1990,8
OFF-PA-10003953,Xerox 218,8
OFF-EN-10003068,#6 3/4 Gummed Flap White Envelopes,9
TEC-PH-10003187,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,9
OFF-AR-10003876,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",9
TEC-AC-10002600,Belkin QODE FastFit Bluetooth Keyboard,9
FUR-TA-10002228,"Bevis Traditional Conference Table Top, Plinth Base",9
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",9
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,9
FUR-FU-10003026,"Eldon Regeneration Recycled Desk Accessories, Black",9
OFF-AP-10001303,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",9
OFF-AP-10004233,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,9
OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,9
TEC-PH-10003800,i.Sound Portable Power - 8000 mAh,9
OFF-AP-10001391,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,9
TEC-AC-10000199,Kingston Digital DataTraveler 8GB USB 2.0,9
TEC-PH-10002033,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,9
TEC-AC-10002370,Maxell CD-R Discs,9
OFF-AR-10003770,Newell 340,9
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,9
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,9
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,9
OFF-AR-10002818,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,9
TEC-PH-10000675,Panasonic KX TS3282B Corded phone,9
OFF-EN-10003160,Pastel Pink Envelopes,9
OFF-EN-10003448,"Peel & Seel Recycled Catalog Envelopes, Brown",9
OFF-PA-10000673,"Post-it Â“Important MessageÂ” Note Pad, Neon Colors, 50 Sheets/Pad",9
OFF-BI-10000042,"Pressboard Data Binder, Crimson, 12 X 8 1/2""""""""",9
OFF-BI-10002437,Recycled Premium Regency Composition Covers,9
TEC-AC-10002134,Rosewill 107 Normal Keys USB Wired Standard Keyboard,9
OFF-ST-10002276,Safco Steel Mobile File Cart,9
TEC-PH-10000562,Samsung Convoy 3,9
OFF-LA-10004677,Self-Adhesive Address Labels for Typewriters with Dispenser Box,9
OFF-SU-10002301,Serrated Blade or Curved Handle Hand Letter Openers,9
OFF-EN-10001028,Staple envelope,9
OFF-EN-10002621,Staple envelope,9
OFF-FA-10001229,Staples,9
OFF-AR-10002280,Staples in misc. colors,9
OFF-BI-10000831,Storex Flexible Poly Binders with Double Pockets,9
OFF-EN-10004147,Wausau Papers Astrobrights Colored Envelopes,9
OFF-PA-10000300,Xerox 1936,9
OFF-PA-10001977,Xerox 194,9
OFF-PA-10000605,Xerox 1950,9
OFF-PA-10003729,Xerox 1998,9
OFF-PA-10000556,Xerox 208,9
OFF-PA-10002105,Xerox 223,9
