order_id,customer_id,order_date,ship_date,ship_mode
CA-2015-102281,MP-17470,10/12/2015,10/14/2015,First Class
CA-2015-131457,MZ-17515,10/31/2015,11/6/2015,Standard Class
CA-2014-140004,CB-12025,3/21/2014,3/25/2014,Standard Class
CA-2017-107720,VM-21685,11/6/2017,11/13/2017,Standard Class
US-2017-124303,FH-14365,7/6/2017,7/13/2017,Standard Class
CA-2017-105074,MB-17305,6/24/2017,6/29/2017,Standard Class
CA-2014-133690,BS-11755,8/3/2014,8/5/2014,First Class
US-2017-116701,LC-17140,12/17/2017,12/21/2017,Second Class
CA-2017-126382,HK-14890,6/3/2017,6/7/2017,Standard Class
CA-2017-108329,LE-16810,12/9/2017,12/14/2017,Standard Class
CA-2017-135860,JH-15985,12/1/2017,12/7/2017,Standard Class
CA-2015-101007,MS-17980,2/9/2015,2/13/2015,Second Class
CA-2015-146262,VW-21775,1/2/2015,1/9/2015,Standard Class
CA-2016-130162,JH-15910,10/28/2016,11/1/2016,Standard Class
CA-2015-169397,JB-15925,12/24/2015,12/27/2015,First Class
CA-2015-163055,DS-13180,8/9/2015,8/16/2015,Standard Class
US-2015-145436,VD-21670,2/28/2015,3/4/2015,Standard Class
US-2014-156216,EA-14035,9/13/2014,9/17/2014,Standard Class
US-2017-100930,CS-12400,4/7/2017,4/12/2017,Standard Class
CA-2017-160514,DB-13120,11/12/2017,11/16/2017,Standard Class
CA-2016-157749,KL-16645,6/4/2016,6/9/2016,Second Class
CA-2014-131926,DW-13480,6/1/2014,6/6/2014,Second Class
CA-2016-154739,LH-17155,12/10/2016,12/15/2016,Second Class
CA-2016-145625,KC-16540,9/11/2016,9/17/2016,Standard Class
CA-2016-146941,DL-13315,12/10/2016,12/13/2016,First Class
US-2015-159982,DR-12880,11/28/2015,12/4/2015,Standard Class
CA-2017-163139,CC-12670,12/1/2017,12/3/2017,Second Class
US-2017-155299,Dl-13600,6/8/2017,6/12/2017,Standard Class
US-2014-106992,SB-20290,9/19/2014,9/21/2014,Second Class
CA-2016-125318,RC-19825,6/6/2016,6/13/2016,Standard Class
CA-2015-155040,AH-10210,11/10/2015,11/15/2015,Standard Class
CA-2017-136826,CB-12535,6/16/2017,6/20/2017,Standard Class
CA-2016-111010,PG-18895,1/22/2016,1/28/2016,Standard Class
US-2017-145366,CA-12310,12/9/2017,12/13/2017,Standard Class
CA-2017-163979,KH-16690,12/28/2017,1/2/2018,Second Class
CA-2015-155334,HA-14920,7/30/2015,7/31/2015,First Class
CA-2017-118136,BB-10990,9/16/2017,9/17/2017,First Class
CA-2017-132976,AG-10495,10/13/2017,10/17/2017,Standard Class
US-2015-161991,SC-20725,9/26/2015,9/28/2015,Second Class
CA-2015-130890,JO-15280,11/2/2015,11/6/2015,Standard Class
CA-2015-130883,TB-21520,9/26/2015,10/2/2015,Standard Class
CA-2016-112697,AH-10195,12/18/2016,12/20/2016,Second Class
CA-2016-110772,NZ-18565,11/20/2016,11/24/2016,Second Class
CA-2014-111451,KL-16555,12/26/2014,12/28/2014,First Class
CA-2016-142545,JD-15895,10/28/2016,11/3/2016,Standard Class
US-2017-152380,JH-15910,11/19/2017,11/23/2017,Standard Class
CA-2015-144253,AS-10225,5/4/2015,5/9/2015,Second Class
CA-2014-130960,KB-16600,12/30/2014,1/4/2015,Standard Class
CA-2014-111003,CR-12625,6/1/2014,6/6/2014,Standard Class
CA-2017-126774,SH-20395,4/15/2017,4/17/2017,First Class
CA-2016-142902,BP-11185,9/12/2016,9/14/2016,Second Class
CA-2014-120887,TS-21205,9/27/2014,10/3/2014,Standard Class
CA-2014-167850,AG-10525,8/9/2014,8/16/2014,Standard Class
CA-2014-164259,SP-20860,12/28/2014,12/30/2014,First Class
CA-2014-164973,NM-18445,11/4/2014,11/9/2014,Standard Class
CA-2014-156601,FA-14230,9/19/2014,9/24/2014,Standard Class
CA-2016-162138,GK-14620,4/23/2016,4/27/2016,Standard Class
CA-2017-153339,DJ-13510,11/3/2017,11/5/2017,Second Class
US-2016-141544,PO-18850,8/30/2016,9/1/2016,First Class
US-2016-150147,JL-15850,4/25/2016,4/29/2016,Second Class
CA-2015-137946,DB-13615,9/1/2015,9/4/2015,Second Class
CA-2014-129924,AC-10420,7/12/2014,7/17/2014,Standard Class
CA-2015-128167,KL-16645,6/22/2015,6/26/2015,Second Class
CA-2014-122336,JD-15895,4/13/2014,4/17/2014,Second Class
US-2015-120712,CS-12130,12/20/2015,12/24/2015,Standard Class
CA-2017-169901,CC-12550,6/15/2017,6/19/2017,Standard Class
CA-2017-134306,TD-20995,7/8/2017,7/12/2017,Standard Class
CA-2016-129714,AB-10060,9/1/2016,9/3/2016,First Class
CA-2016-138520,JL-15505,4/8/2016,4/13/2016,Standard Class
CA-2016-130001,HK-14890,4/23/2016,4/28/2016,Standard Class
CA-2017-155698,VB-21745,3/8/2017,3/11/2017,First Class
CA-2017-144904,KW-16435,9/25/2017,10/1/2017,Standard Class
CA-2014-123344,JD-16060,9/24/2014,9/29/2014,Standard Class
CA-2016-155516,MK-17905,10/21/2016,10/21/2016,Same Day
CA-2017-104745,GT-14755,5/29/2017,6/4/2017,Standard Class
US-2014-119137,AG-10900,7/23/2014,7/27/2014,Standard Class
US-2016-134656,MM-18280,9/28/2016,10/1/2016,First Class
US-2017-134481,AR-10405,8/27/2017,9/1/2017,Standard Class
CA-2015-130792,RA-19915,4/28/2015,5/5/2015,Standard Class
CA-2016-134775,AS-10285,10/28/2016,10/29/2016,First Class
CA-2015-125395,LA-16780,6/26/2015,6/29/2015,Second Class
US-2015-168935,DO-13435,11/27/2015,12/2/2015,Standard Class
CA-2015-122756,DK-13225,12/3/2015,12/7/2015,Standard Class
CA-2014-115973,NG-18430,11/24/2014,11/26/2014,First Class
CA-2017-101798,MV-18190,12/11/2017,12/15/2017,Standard Class
US-2014-135972,JG-15115,9/21/2014,9/23/2014,Second Class
US-2014-134971,BP-11095,6/7/2014,6/10/2014,Second Class
CA-2017-102946,VP-21730,6/30/2017,7/5/2017,Standard Class
CA-2017-165603,SS-20140,10/17/2017,10/19/2017,Second Class
CA-2015-122259,HP-14815,10/31/2015,11/4/2015,Standard Class
CA-2016-108987,AG-10675,9/8/2016,9/10/2016,Second Class
CA-2014-113166,LF-17185,12/24/2014,12/26/2014,First Class
CA-2014-155208,SP-20650,4/16/2014,4/20/2014,Standard Class
CA-2017-117933,RF-19840,12/24/2017,12/29/2017,Standard Class
CA-2017-117457,KH-16510,12/8/2017,12/12/2017,Standard Class
CA-2017-142636,KC-16675,11/3/2017,11/7/2017,Standard Class
CA-2017-122105,CJ-12010,6/24/2017,6/28/2017,Standard Class
CA-2016-148796,PB-19150,4/14/2016,4/18/2016,Standard Class
CA-2017-154816,VB-21745,11/6/2017,11/10/2017,Standard Class
CA-2017-110478,SP-20860,3/4/2017,3/9/2017,Standard Class
CA-2014-142048,JE-15745,6/22/2014,6/25/2014,First Class
CA-2017-125388,MP-17965,10/19/2017,10/23/2017,Standard Class
CA-2017-155705,NF-18385,8/21/2017,8/23/2017,Second Class
CA-2017-149160,JM-15265,11/23/2017,11/26/2017,Second Class
CA-2014-101476,SD-20485,9/12/2014,9/13/2014,First Class
CA-2017-152275,KH-16630,10/1/2017,10/8/2017,Standard Class
US-2016-123750,RB-19795,4/15/2016,4/21/2016,Standard Class
CA-2016-127369,DB-13060,6/6/2016,6/7/2016,First Class
US-2014-150574,MK-18160,12/19/2014,12/25/2014,Standard Class
CA-2016-147375,PO-19180,6/12/2016,6/14/2016,Second Class
CA-2017-130043,BB-11545,9/15/2017,9/19/2017,Standard Class
CA-2017-157252,CV-12805,1/20/2017,1/23/2017,Second Class
CA-2016-115756,PK-19075,9/5/2016,9/7/2016,Second Class
CA-2017-154214,TB-21595,3/20/2017,3/25/2017,Second Class
CA-2016-166674,RB-19360,4/1/2016,4/3/2016,Second Class
CA-2017-147277,EB-13705,10/20/2017,10/24/2017,Standard Class
CA-2016-100153,KH-16630,12/13/2016,12/17/2016,Standard Class
US-2014-110674,SC-20095,2/12/2014,2/18/2014,Standard Class
US-2016-157945,NF-18385,9/26/2016,10/1/2016,Standard Class
CA-2015-109638,JH-15985,12/15/2015,12/22/2015,Standard Class
CA-2016-109869,TN-21040,4/22/2016,4/29/2016,Standard Class
US-2015-101399,JS-15940,1/17/2015,1/24/2015,Standard Class
CA-2017-154907,DS-13180,3/31/2017,4/4/2017,Standard Class
US-2016-100419,CC-12670,12/16/2016,12/20/2016,Second Class
CA-2015-154144,MH-17785,12/20/2015,12/24/2015,Standard Class
CA-2014-144666,JP-15520,11/9/2014,11/11/2014,Second Class
CA-2016-103891,KH-16690,7/12/2016,7/19/2016,Standard Class
CA-2016-152632,JE-15475,10/27/2016,11/2/2016,Standard Class
CA-2016-100790,JG-15805,6/26/2016,7/2/2016,Standard Class
CA-2014-134677,XP-21865,10/6/2014,10/10/2014,Standard Class
CA-2014-127691,EM-14065,7/22/2014,7/27/2014,Standard Class
CA-2017-140963,MT-18070,6/10/2017,6/13/2017,First Class
CA-2014-154627,SA-20830,10/29/2014,10/31/2014,First Class
CA-2014-133753,CW-11905,6/9/2014,6/13/2014,Second Class
CA-2014-113362,AJ-10960,9/14/2014,9/19/2014,Standard Class
CA-2016-169166,SS-20590,5/9/2016,5/14/2016,Standard Class
US-2016-120929,RO-19780,3/18/2016,3/21/2016,Second Class
CA-2015-134782,MD-17350,12/27/2015,12/31/2015,Standard Class
CA-2016-126158,SC-20095,7/25/2016,7/31/2016,Standard Class
US-2016-105578,MY-17380,5/30/2016,6/4/2016,Standard Class
CA-2017-134978,EB-13705,11/12/2017,11/15/2017,Second Class
CA-2015-145352,CM-12385,3/16/2015,3/22/2015,Standard Class
CA-2017-135307,LS-17245,11/26/2017,11/27/2017,First Class
CA-2016-106341,LF-17185,10/20/2016,10/23/2016,First Class
CA-2017-163405,BN-11515,12/21/2017,12/25/2017,Standard Class
CA-2017-127432,AD-10180,1/22/2017,1/27/2017,Standard Class
CA-2015-157812,DB-13210,3/22/2015,3/26/2015,Standard Class
CA-2017-145142,MC-17605,1/23/2017,1/25/2017,First Class
US-2016-139486,LH-17155,5/21/2016,5/23/2016,First Class
CA-2015-158792,BD-11605,12/26/2015,1/2/2016,Standard Class
CA-2017-113558,PH-18790,10/21/2017,10/26/2017,Standard Class
US-2015-138303,MG-18145,9/3/2015,9/7/2015,Standard Class
CA-2015-102848,KB-16240,11/7/2015,11/9/2015,Second Class
US-2017-129441,JC-15340,9/7/2017,9/11/2017,Standard Class
CA-2016-168753,RL-19615,5/29/2016,6/1/2016,Second Class
CA-2016-126613,AA-10375,7/10/2016,7/16/2016,Standard Class
US-2017-122637,EP-13915,9/3/2017,9/8/2017,Second Class
CA-2015-147851,MP-17470,12/3/2015,12/8/2015,Standard Class
CA-2015-134894,DK-12985,12/7/2015,12/11/2015,Standard Class
CA-2014-140795,BD-11500,2/1/2014,2/3/2014,First Class
CA-2016-136924,ES-14080,7/14/2016,7/17/2016,First Class
US-2015-120161,LM-17065,12/18/2015,12/23/2015,Standard Class
CA-2014-103849,PG-18895,5/11/2014,5/16/2014,Standard Class
CA-2017-162929,AS-10135,11/19/2017,11/22/2017,First Class
CA-2015-113173,DK-13225,11/15/2015,11/17/2015,Second Class
CA-2016-136406,BD-11320,4/15/2016,4/17/2016,Second Class
CA-2017-112774,RC-19960,9/11/2017,9/12/2017,First Class
CA-2017-101945,GT-14710,11/24/2017,11/28/2017,Standard Class
CA-2017-100650,DK-13225,6/29/2017,7/3/2017,Second Class
CA-2014-155852,AJ-10945,3/3/2014,3/7/2014,Second Class
CA-2016-113243,OT-18730,6/10/2016,6/15/2016,Standard Class
CA-2017-118731,LP-17080,11/20/2017,11/22/2017,Second Class
CA-2014-145576,CA-12775,9/14/2014,9/18/2014,Second Class
CA-2015-130736,JF-15490,12/7/2015,12/9/2015,First Class
CA-2017-137099,FP-14320,12/7/2017,12/10/2017,First Class
CA-2017-156951,EB-13840,10/1/2017,10/8/2017,Standard Class
CA-2017-164826,JF-15415,12/28/2017,1/4/2018,Standard Class
CA-2016-127250,SF-20200,11/3/2016,11/7/2016,Standard Class
CA-2015-149713,TG-21640,9/18/2015,9/22/2015,Second Class
CA-2017-118640,CS-11950,7/20/2017,7/26/2017,Standard Class
CA-2015-132906,CC-12145,9/10/2015,9/14/2015,Standard Class
CA-2017-145233,DV-13465,12/1/2017,12/5/2017,Standard Class
CA-2015-128139,BD-11725,7/3/2015,7/9/2015,Standard Class
US-2016-156986,ZC-21910,3/20/2016,3/24/2016,Standard Class
CA-2014-135405,MS-17830,1/9/2014,1/13/2014,Standard Class
CA-2014-131450,LR-16915,8/8/2014,8/15/2014,Standard Class
CA-2016-120180,TP-21130,7/14/2016,7/16/2016,First Class
US-2016-100720,CK-12205,7/16/2016,7/21/2016,Standard Class
CA-2014-149958,AS-10240,3/15/2014,3/19/2014,Standard Class
US-2014-105767,AR-10510,5/23/2014,5/27/2014,Standard Class
CA-2016-161816,NB-18655,4/28/2016,5/1/2016,First Class
CA-2016-121223,GD-14590,9/11/2016,9/13/2016,Second Class
CA-2017-138611,CK-12595,11/14/2017,11/17/2017,Second Class
CA-2017-117947,NG-18355,8/18/2017,8/23/2017,Second Class
US-2014-111171,CA-12265,12/26/2014,12/31/2014,Standard Class
CA-2015-138009,SF-20965,11/29/2015,12/3/2015,Standard Class
CA-2017-163020,MO-17800,9/15/2017,9/19/2017,Standard Class
CA-2017-153787,AT-10735,5/19/2017,5/23/2017,Standard Class
CA-2017-133431,LC-17140,12/17/2017,12/21/2017,Standard Class
US-2016-135720,FM-14380,12/11/2016,12/13/2016,Second Class
CA-2017-144694,BD-11605,9/24/2017,9/26/2017,Second Class
CA-2015-168004,DJ-13420,10/4/2015,10/9/2015,Second Class
US-2016-123470,ME-17725,8/15/2016,8/21/2016,Standard Class
CA-2016-115917,RB-19465,5/20/2016,5/25/2016,Standard Class
CA-2016-147067,JD-16150,12/18/2016,12/22/2016,Standard Class
CA-2017-167913,JL-15835,7/30/2017,8/3/2017,Second Class
CA-2017-106103,SC-20305,6/10/2017,6/15/2017,Standard Class
US-2017-127719,TW-21025,7/21/2017,7/25/2017,Standard Class
CA-2017-126221,CC-12430,12/30/2017,1/5/2018,Standard Class
CA-2016-103947,BB-10990,4/1/2016,4/8/2016,Standard Class
CA-2016-160745,AR-10825,12/11/2016,12/16/2016,Second Class
CA-2016-132661,SR-20740,10/23/2016,10/29/2016,Standard Class
CA-2017-140844,AR-10405,6/19/2017,6/23/2017,Standard Class
CA-2016-137239,CR-12730,8/22/2016,8/28/2016,Standard Class
US-2016-156097,EH-14125,9/19/2016,9/19/2016,Same Day
CA-2015-146563,CB-12025,8/24/2015,8/28/2015,Standard Class
CA-2016-123666,SP-20545,3/26/2016,3/30/2016,Standard Class
CA-2016-143308,RC-19825,11/4/2016,11/4/2016,Same Day
CA-2017-132682,TH-21235,6/8/2017,6/10/2017,Second Class
CA-2014-156314,RP-19390,12/24/2014,12/26/2014,First Class
US-2017-106663,MO-17800,6/9/2017,6/13/2017,Standard Class
CA-2017-111178,TD-20995,6/15/2017,6/22/2017,Standard Class
CA-2017-130351,RB-19570,12/5/2017,12/8/2017,First Class
US-2017-119438,CD-11980,3/18/2017,3/23/2017,Standard Class
CA-2016-164511,DJ-13630,11/19/2016,11/24/2016,Standard Class
US-2017-168116,GT-14635,11/4/2017,11/4/2017,Same Day
CA-2014-157784,MC-17845,7/5/2014,7/8/2014,First Class
CA-2017-161480,RA-19285,12/25/2017,12/29/2017,Standard Class
US-2014-117135,NP-18325,6/21/2014,6/23/2014,Second Class
CA-2015-131534,AB-10165,3/28/2015,4/2/2015,Standard Class
CA-2015-119291,JO-15550,5/14/2015,5/17/2015,First Class
CA-2017-114552,Dl-13600,9/2/2017,9/8/2017,Standard Class
CA-2016-163755,AS-10285,11/4/2016,11/8/2016,Second Class
CA-2015-142027,JK-15370,4/9/2015,4/14/2015,Standard Class
CA-2014-138527,BN-11470,9/12/2014,9/17/2014,Standard Class
CA-2014-112158,DP-13165,12/2/2014,12/4/2014,First Class
CA-2014-113887,TH-21550,4/5/2014,4/7/2014,First Class
CA-2017-146136,AP-10915,9/3/2017,9/7/2017,Standard Class
US-2017-100048,RS-19765,5/19/2017,5/24/2017,Standard Class
CA-2014-153150,Dl-13600,7/1/2014,7/6/2014,Second Class
CA-2014-130092,SV-20365,1/11/2014,1/14/2014,First Class
CA-2017-108910,KC-16540,9/24/2017,9/29/2017,Standard Class
CA-2014-104472,CK-12325,6/2/2014,6/7/2014,Standard Class
CA-2016-112942,RD-19810,2/13/2016,2/18/2016,Standard Class
CA-2016-142335,MP-17965,12/15/2016,12/19/2016,Standard Class
CA-2014-117429,MR-17545,10/7/2014,10/13/2014,Standard Class
CA-2016-114713,SC-20695,7/7/2016,7/12/2016,Standard Class
CA-2017-144113,JF-15355,9/16/2017,9/20/2017,Standard Class
US-2016-150861,EG-13900,12/3/2016,12/6/2016,First Class
CA-2017-131954,DS-13030,1/21/2017,1/25/2017,Standard Class
CA-2014-132500,GZ-14470,9/8/2014,9/12/2014,Standard Class
CA-2014-112326,PO-19195,1/4/2014,1/8/2014,Standard Class
US-2016-146710,SS-20875,8/27/2016,9/1/2016,Standard Class
CA-2014-124429,MH-17785,5/27/2014,5/27/2014,Same Day
CA-2016-150889,PB-19105,3/20/2016,3/22/2016,Second Class
CA-2017-126074,RF-19735,10/2/2017,10/6/2017,Standard Class
CA-2016-110499,YC-21895,4/7/2016,4/9/2016,First Class
CA-2015-135272,MS-17830,12/7/2015,12/12/2015,Standard Class
CA-2016-140928,NB-18655,9/18/2016,9/22/2016,Standard Class
CA-2014-106803,DC-13285,12/29/2014,1/2/2015,Standard Class
CA-2017-117240,CP-12340,7/23/2017,7/28/2017,Standard Class
CA-2017-133333,BF-11020,9/18/2017,9/22/2017,Standard Class
CA-2015-112319,AR-10510,8/31/2015,9/5/2015,Standard Class
CA-2017-126046,JC-16105,11/3/2017,11/7/2017,Standard Class
CA-2015-114923,LH-17020,2/8/2015,2/13/2015,Standard Class
CA-2014-162775,CS-12250,1/13/2014,1/15/2014,Second Class
CA-2014-106810,AJ-10795,5/14/2014,5/20/2014,Standard Class
CA-2016-157245,LE-16810,5/19/2016,5/24/2016,Standard Class
CA-2017-104220,BV-11245,1/30/2017,2/5/2017,Standard Class
CA-2014-165974,DL-12865,6/29/2014,7/6/2014,Standard Class
CA-2015-144267,NZ-18565,8/21/2015,8/23/2015,First Class
US-2015-157014,BM-11785,10/3/2015,10/6/2015,Second Class
CA-2015-154921,EA-14035,5/23/2015,5/28/2015,Standard Class
CA-2017-129567,CL-12565,3/17/2017,3/21/2017,Second Class
CA-2015-154620,LT-17110,12/12/2015,12/16/2015,Standard Class
CA-2015-115938,SA-20830,6/26/2015,6/30/2015,Standard Class
CA-2016-105256,JK-15730,5/20/2016,5/20/2016,Same Day
CA-2014-156433,ES-14020,9/20/2014,9/26/2014,Standard Class
CA-2017-151428,RH-19495,9/21/2017,9/26/2017,Standard Class
CA-2015-124653,DB-13120,12/24/2015,12/26/2015,First Class
CA-2015-101910,CD-11920,11/27/2015,12/3/2015,Standard Class
CA-2017-105809,HW-14935,2/20/2017,2/23/2017,First Class
CA-2016-136133,HW-14935,8/18/2016,8/23/2016,Second Class
CA-2016-115504,MC-18130,3/12/2016,3/17/2016,Standard Class
CA-2017-135783,GM-14440,4/22/2017,4/24/2017,First Class
CA-2014-134313,RA-19915,11/1/2014,11/7/2014,Standard Class
CA-2015-140921,AA-10375,2/3/2015,2/5/2015,First Class
CA-2014-151995,ZC-21910,10/13/2014,10/15/2014,First Class
CA-2017-143686,PJ-19015,5/14/2017,5/14/2017,Same Day
CA-2015-106565,BW-11110,3/20/2015,3/23/2015,First Class
CA-2016-149370,DB-13210,9/15/2016,9/19/2016,Standard Class
CA-2014-140858,CA-12775,6/28/2014,7/2/2014,Standard Class
CA-2017-101434,TR-21325,6/20/2017,6/27/2017,Standard Class
US-2014-102071,PG-18820,5/9/2014,5/15/2014,Standard Class
CA-2017-126956,GT-14710,8/21/2017,8/28/2017,Standard Class
CA-2017-129462,JE-15745,6/16/2017,6/21/2017,Second Class
CA-2016-165316,JB-15400,7/23/2016,7/27/2016,Standard Class
US-2014-115987,LH-17020,9/8/2014,9/13/2014,Second Class
US-2017-156083,JL-15175,11/4/2017,11/11/2017,Standard Class
US-2016-137547,EB-13705,3/7/2016,3/12/2016,Standard Class
CA-2015-100454,BM-11650,11/20/2015,11/25/2015,Standard Class
CA-2016-161669,EM-14095,11/7/2016,11/9/2016,First Class
CA-2015-114300,AF-10885,10/13/2015,10/17/2015,Standard Class
CA-2017-107503,GA-14725,1/1/2017,1/6/2017,Standard Class
CA-2014-107755,CK-12760,2/7/2014,2/12/2014,Standard Class
CA-2016-152534,DP-13105,6/20/2016,6/25/2016,Second Class
CA-2016-113747,VD-21670,5/28/2016,6/4/2016,Standard Class
CA-2016-123274,GT-14710,2/19/2016,2/24/2016,Standard Class
CA-2014-125612,BK-11260,8/3/2014,8/8/2014,Standard Class
CA-2017-161984,SJ-20125,4/10/2017,4/15/2017,Standard Class
CA-2014-133851,CM-12445,6/9/2014,6/16/2014,Standard Class
CA-2016-134474,AJ-10795,1/5/2016,1/7/2016,Second Class
CA-2014-149020,AJ-10780,1/10/2014,1/15/2014,Standard Class
CA-2016-134362,LS-16945,9/29/2016,10/2/2016,First Class
